State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
BASH,465,503,2410,65,71,UP,490,550,9,3,9,6,6,1,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2404,65,73,UP,490,550,1,6,9,7,8,7,9,5,8,2,9,4,4,7,9,8
BASH,465,503,2399,65,75,UP,490,550,7,9,5,3,4,6,8,9,8,2,9,4,4,7,9,8
LEFT,465,503,2394,65,77,UP,490,550,6,8,9,3,4,2,5,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2393,65,77,RIGHT,490,550,6,8,9,3,4,2,5,2,8,2,9,4,4,7,9,8
RIGHT,465,503,2389,66,77,RIGHT,490,550,8,9,8,2,6,5,2,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2387,66,77,UP,490,550,8,9,8,2,6,5,2,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2385,66,78,UP,490,550,2,4,6,5,2,8,2,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2383,66,79,UP,490,550,5,2,2,8,2,5,1,1,8,2,9,4,4,7,9,8
LEFT,465,503,2382,66,80,UP,490,550,8,2,2,5,1,5,8,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2381,66,80,RIGHT,490,550,8,2,2,5,1,5,8,7,8,2,9,4,4,7,9,8
RIGHT,465,503,2380,67,80,RIGHT,490,550,2,2,6,1,7,8,7,7,8,2,9,4,4,7,9,8
BASH,465,503,2379,67,80,UP,490,550,2,2,6,1,7,8,7,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2372,67,82,UP,490,550,8,7,7,9,6,9,1,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2371,67,83,UP,490,550,9,4,6,9,4,4,1,8,8,2,9,4,4,7,9,8
FORWARD,465,503,2370,67,84,UP,490,550,9,1,4,4,8,9,4,9,8,2,9,4,4,7,9,8
BASH,465,503,2366,67,85,UP,490,550,4,1,8,9,9,9,4,7,8,2,9,4,4,7,9,8
BASH,465,503,2362,67,87,UP,490,550,9,4,7,5,9,8,8,5,8,2,9,4,4,7,9,8
FORWARD,465,503,2354,67,89,UP,490,550,8,8,5,4,5,4,1,1,8,2,9,4,4,7,9,8
LEFT,465,503,2353,67,90,UP,490,550,4,5,5,4,1,1,7,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2352,67,90,RIGHT,490,550,4,5,5,4,1,1,7,4,8,2,9,4,4,7,9,8
RIGHT,465,503,2351,68,90,RIGHT,490,550,5,5,5,1,8,7,4,1,8,2,9,4,4,7,9,8
FORWARD,465,503,2350,68,90,UP,490,550,5,5,5,1,8,7,4,1,8,2,9,4,4,7,9,8
LEFT,465,503,2346,68,91,UP,490,550,1,1,8,7,1,9,4,3,8,2,9,4,4,7,9,8
FORWARD,465,503,2344,68,91,RIGHT,490,550,1,1,8,7,1,9,4,3,8,2,9,4,4,7,9,8
RIGHT,465,503,2343,69,91,RIGHT,490,550,1,8,8,4,5,4,3,5,8,2,9,4,4,7,9,8
BASH,465,503,2342,69,91,UP,490,550,1,8,8,4,5,4,3,5,8,2,9,4,4,7,9,8
BASH,465,503,2336,69,93,UP,490,550,4,3,5,6,9,9,9,5,8,2,9,4,4,7,9,8
BASH,465,503,2330,69,95,UP,490,550,9,9,5,6,4,7,3,2,8,2,9,4,4,7,9,8
BASH,465,503,2326,69,97,UP,490,550,7,3,2,3,2,2,5,1,8,2,9,4,4,7,9,8
BASH,465,503,2322,69,99,UP,490,550,2,5,1,6,4,1,8,2,8,2,9,4,4,7,9,8
BASH,465,503,2313,69,101,UP,490,550,1,8,2,4,6,4,5,6,8,2,9,4,4,7,9,8
LEFT,465,503,2309,69,103,UP,490,550,4,5,6,5,1,3,9,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2308,69,103,RIGHT,490,550,4,5,6,5,1,3,9,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2307,70,103,RIGHT,490,550,5,6,9,1,3,9,7,6,8,2,9,4,4,7,9,8
RIGHT,465,503,2304,71,103,RIGHT,490,550,6,9,1,1,3,7,6,6,8,2,9,4,4,7,9,8
BASH,465,503,2302,71,103,UP,490,550,6,9,1,1,3,7,6,6,8,2,9,4,4,7,9,8
BASH,465,503,2298,71,105,UP,490,550,7,6,6,6,7,5,3,7,8,2,9,4,4,7,9,8
BASH,465,503,2290,71,107,UP,490,550,5,3,7,8,9,4,5,3,8,2,9,4,4,7,9,8
LEFT,465,503,2285,71,109,UP,490,550,4,5,3,3,2,7,2,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2284,71,109,RIGHT,490,550,4,5,3,3,2,7,2,6,8,2,9,4,4,7,9,8
RIGHT,465,503,2282,72,109,RIGHT,490,550,5,3,1,2,7,2,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2281,72,109,UP,490,550,5,3,1,2,7,2,6,9,8,2,9,4,4,7,9,8
FORWARD,465,503,2277,72,111,UP,490,550,2,6,9,6,4,8,3,7,8,2,9,4,4,7,9,8
LEFT,465,503,2274,72,112,UP,490,550,6,1,4,8,7,8,5,6,8,2,9,4,4,7,9,8
BASH,465,503,2272,72,112,RIGHT,490,550,6,1,4,8,7,8,5,6,8,2,9,4,4,7,9,8
BASH,465,503,2268,74,112,RIGHT,490,550,4,9,6,7,3,6,5,7,8,2,9,4,4,7,9,8
RIGHT,465,503,2264,76,112,RIGHT,490,550,6,9,8,3,5,7,9,7,8,2,9,4,4,7,9,8
BASH,465,503,2263,76,112,UP,490,550,6,9,8,3,5,7,9,7,8,2,9,4,4,7,9,8
LEFT,465,503,2258,76,114,UP,490,550,7,9,7,5,5,2,9,3,8,2,9,4,4,7,9,8
BASH,465,503,2257,76,114,RIGHT,490,550,7,9,7,5,5,2,9,3,8,2,9,4,4,7,9,8
RIGHT,465,503,2253,78,114,RIGHT,490,550,7,4,4,5,8,3,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2252,78,114,UP,490,550,7,4,4,5,8,3,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2247,78,116,UP,490,550,3,6,9,7,3,3,6,1,8,2,9,4,4,7,9,8
FORWARD,465,503,2240,78,118,UP,490,550,3,6,1,9,2,6,2,9,8,2,9,4,4,7,9,8
BASH,465,503,2238,78,119,UP,490,550,9,4,2,6,9,5,5,1,8,2,9,4,4,7,9,8
BASH,465,503,2231,78,121,UP,490,550,5,5,1,5,8,2,7,5,8,2,9,4,4,7,9,8
BASH,465,503,2227,78,123,UP,490,550,2,7,5,7,6,8,7,8,8,2,9,4,4,7,9,8
